ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000009.SZ,20250715,8.72,0.6082,0.7,130.2866,83.1665,2.2256,2249074.5775,2246289.8455
000009.SZ,20250714,8.88,0.6564,0.75,132.6771,84.6925,2.2665,2290342.0009,2287506.1729
000009.SZ,20250711,8.87,1.3335,1.72,132.5277,84.5971,2.2639,2287762.787,2284930.1525
000009.SZ,20250710,8.82,0.5795,0.7,131.7807,84.1203,2.2512,2274866.7171,2272050.0501
000009.SZ,20250709,8.77,0.8325,0.95,131.0336,83.6434,2.2384,2261970.6473,2259169.9478
000009.SZ,20250708,8.9,0.9407,0.9,132.976,84.8833,2.2716,2295500.4289,2272860.5421
000009.SZ,20250707,8.89,0.6979,0.62,132.8266,84.7879,2.269,2292921.2149,2270306.7662
000009.SZ,20250704,8.94,0.858,0.7,133.5736,85.2648,2.2818,2305817.2847,2280978.7097
000009.SZ,20250703,9.02,0.8608,0.6,134.7689,86.0277,2.3022,2326450.9964,2301390.1522
000009.SZ,20250702,9.13,1.0824,0.64,136.4124,87.0769,2.3303,2354822.35,2329455.8858
000009.SZ,20250701,9.13,1.7413,0.87,136.4124,87.0769,2.3303,2354822.35,2329455.8858
000009.SZ,20250630,8.88,1.1086,0.46,132.6771,84.6925,2.2665,2290342.0009,2265670.1277
000009.SZ,20250627,8.8,1.3493,0.6,131.4819,83.9295,2.246,2269708.2892,2245258.6851
000009.SZ,20250626,8.92,1.9132,0.98,133.2748,85.074,2.2767,2300658.8568,2275875.849
000009.SZ,20250625,8.88,2.3709,1.48,132.6771,84.6925,2.2665,2290342.0009,2265670.1277
000009.SZ,20250624,8.81,3.2552,3.13,131.6313,84.0249,2.2486,2272287.5032,2247810.1154
000009.SZ,20250623,8.44,3.1608,6.25,126.1031,80.496,2.1542,2176856.5865,2153407.1935
000009.SZ,20250620,7.92,0.4634,0.73,118.3337,75.5366,2.0214,2042737.4603,2020732.8166
000009.SZ,20250619,7.92,0.5451,0.84,118.3337,75.5366,2.0214,2042737.4603,2020732.8166
000009.SZ,20250618,8.01,0.5805,0.74,119.6784,76.3949,2.0444,2065950.386,2043695.6895
000009.SZ,20250617,8.1,0.4498,0.54,121.0231,77.2533,2.0674,2089163.3117,2066658.5624
000009.SZ,20250616,8.09,0.4915,0.52,120.8737,77.1579,2.0648,2086584.0977,2064107.1321
000009.SZ,20250613,8.12,1.1012,1.29,121.3219,77.444,2.0725,2094321.7396,2071761.4231
000009.SZ,20250612,8.18,0.6275,0.78,122.2184,78.0163,2.0878,2109797.0234,2087070.005
000009.SZ,20250611,8.24,1.2513,1.98,123.1148,78.5885,2.1031,2125272.3072,2102378.587
000009.SZ,20250610,8.08,0.6624,1.07,120.7242,77.0625,2.0623,2084004.8837,2061555.7018
000009.SZ,20250609,8.24,1.0393,2.02,123.1148,78.5885,2.1031,2125272.3072,2102378.587
000009.SZ,20250606,8.09,0.6859,1.41,120.8737,77.1579,2.0648,2086584.0977,2064107.1321
000009.SZ,20250605,7.99,0.3721,0.78,119.3795,76.2042,2.0393,2060791.958,2038592.8289
000009.SZ,20250604,7.98,0.4002,0.83,119.2301,76.1088,2.0368,2058212.7441,2036041.3986
000009.SZ,20250603,7.93,0.5991,1.38,118.4831,75.6319,2.024,2045316.6742,2023284.2469
000009.SZ,20250530,8.02,0.5126,1.18,119.8278,76.4903,2.047,2068529.5999,2046247.1198
000009.SZ,20250529,8.1,0.5399,1.28,121.0231,77.2533,2.0674,2089163.3117,2066658.5624
000009.SZ,20250528,8.01,0.3293,0.67,119.6784,76.3949,2.0444,2065950.386,2043695.6895
000009.SZ,20250527,8.0,0.4234,0.88,119.529,76.2996,2.0419,2063371.172,2041144.2592
000009.SZ,20250526,8.0,0.364,0.72,119.529,76.2996,2.0419,2063371.172,2041144.2592
000009.SZ,20250523,7.97,0.5162,1.04,119.0807,76.0134,2.0342,2055633.5301,2033489.9682
000009.SZ,20250522,8.05,0.4719,0.96,120.276,76.7764,2.0546,2076267.2418,2053901.4108
000009.SZ,20250521,8.13,0.6757,1.4,121.4713,77.5394,2.075,2096900.9535,2074312.8534
000009.SZ,20250520,8.08,0.3827,0.68,120.7242,77.0625,2.0623,2084004.8837,2061555.7018
000009.SZ,20250519,8.09,0.481,0.72,120.8737,77.1579,2.0648,2086584.0977,2064107.1321
000009.SZ,20250516,8.06,0.4714,0.65,120.4254,76.8718,2.0572,2078846.4558,2056452.8411
000009.SZ,20250515,8.05,0.4467,0.6,120.276,76.7764,2.0546,2076267.2418,2053901.4108
000009.SZ,20250514,8.14,0.6399,0.74,121.6207,77.6348,2.0776,2099480.1675,2076864.2837
000009.SZ,20250513,8.16,0.7564,0.82,121.9195,77.8255,2.0827,2104638.5954,2081967.1444
000009.SZ,20250512,8.19,1.0242,0.99,122.3678,78.1117,2.0904,2112376.2373,2089621.4354
000009.SZ,20250509,8.03,0.7478,0.77,119.9772,76.5857,2.0495,2071108.8139,2048798.5502
000009.SZ,20250508,8.03,0.5769,0.61,119.9772,76.5857,2.0495,2071108.8139,2048798.5502
000009.SZ,20250507,8.05,1.192,1.5,120.276,76.7764,2.0546,2076267.2418,2053901.4108
000009.SZ,20250506,7.95,1.0804,1.54,118.7819,75.8227,2.0291,2050475.1022,2028387.1076
000009.SZ,20250430,7.74,1.5783,3.45,115.6443,73.8198,1.9755,1996311.6089,1974807.0708
000009.SZ,20250429,7.4,0.445,0.93,110.5643,110.5643,1.925,1908618.3341,1888058.4398
000009.SZ,20250428,7.46,0.4411,0.98,111.4608,111.4608,1.9406,1924093.6179,1903367.0217
000009.SZ,20250425,7.57,0.4375,1.04,113.1043,113.1043,1.9693,1952464.9715,1931432.7553
000009.SZ,20250424,7.59,0.6072,1.51,113.4031,113.4031,1.9745,1957623.3994,1936535.6159
000009.SZ,20250423,7.73,0.3586,0.81,115.4949,115.4949,2.0109,1993732.3949,1972255.6405
000009.SZ,20250422,7.72,0.5579,1.29,115.3454,115.3454,2.0083,1991153.181,1969704.2101
000009.SZ,20250421,7.77,0.2906,0.54,116.0925,116.0925,2.0213,2004049.2508,1982461.3617
000009.SZ,20250418,7.75,0.2967,0.49,115.7937,115.7937,2.0161,1998890.8229,1977358.5011
000009.SZ,20250417,7.74,0.5022,0.71,115.6443,115.6443,2.0135,1996311.6089,1974807.0708
000009.SZ,20250416,7.85,0.5792,0.72,117.2878,117.2878,2.0421,2024682.9625,2002872.8043
000009.SZ,20250415,7.85,0.4976,0.52,26.7653,43.6996,1.9952,2024682.9625,2002872.8043
