ts_code,name,industry,list_date,market
600125.SH,铁龙物流,铁路,19980511,主板
600126.SH,杭钢股份,普钢,19980311,主板
600127.SH,金健米业,农业综合,19980506,主板
600128.SH,苏豪弘业,商贸代理,19970901,主板
600129.SH,太极集团,中成药,19971118,主板
600130.SH,波导股份,元器件,20000706,主板
600131.SH,国网信通,通信设备,19980402,主板
600132.SH,重庆啤酒,啤酒,19971030,主板
600133.SH,东湖高新,环境保护,19980212,主板
600135.SH,乐凯胶片,塑料,19980122,主板
600137.SH,浪莎股份,服饰,19980416,主板
600138.SH,中青旅,旅游景点,19971203,主板
600141.SH,兴发集团,农药化肥,19990616,主板
600148.SH,长春一东,汽车配件,19980520,主板
600149.SH,廊坊发展,综合类,19991014,主板
600150.SH,中国船舶,船舶,19980520,主板
600151.SH,航天机电,汽车配件,19980605,主板
600152.SH,维科技术,电气设备,19980609,主板
600153.SH,建发股份,仓储物流,19980616,主板
600155.SH,华创云信,证券,19980918,主板
600156.SH,华升股份,纺织,19980527,主板
600157.SH,永泰能源,火力发电,19980513,主板
600158.SH,中体产业,文教休闲,19980327,主板
600159.SH,大龙地产,区域地产,19980526,主板
600160.SH,巨化股份,化工原料,19980626,主板
600161.SH,天坛生物,生物制药,19980616,主板
600162.SH,香江控股,全国地产,19980609,主板
600163.SH,中闽能源,新型电力,19980602,主板
600166.SH,福田汽车,汽车整车,19980602,主板
600167.SH,联美控股,供气供热,19990128,主板
600168.SH,武汉控股,水务,19980427,主板
600170.SH,上海建工,建筑工程,19980623,主板
600171.SH,上海贝岭,半导体,19980924,主板
600172.SH,黄河旋风,矿物制品,19981126,主板
600173.SH,卧龙新能,全国地产,19990415,主板
600176.SH,中国巨石,玻璃,19990422,主板
600177.SH,雅戈尔,服饰,19981119,主板
600178.SH,东安动力,汽车配件,19981014,主板
600179.SH,安通控股,水运,19981104,主板
600182.SH,S佳通,汽车配件,19990507,主板
600183.SH,生益科技,元器件,19981028,主板
600184.SH,光电股份,专用机械,20031106,主板
600185.SH,珠免集团,旅游服务,19990611,主板
600186.SH,莲花控股,食品,19980825,主板
600188.SH,兖矿能源,煤炭开采,19980701,主板
600189.SH,泉阳泉,软饮料,19981007,主板
600191.SH,华资实业,食品,19981210,主板
